title="Potential"
variables = "x","y","V"
zone i=101,j=101,f=point
95 7 -0.133103
96 7 -0.110936
97 7 -0.0887631
98 7 -0.0665853
99 7 -0.0443992
100 7 -0.0222049
101 7 0
1 8 0
2 8 -0.0258497
3 8 -0.0516942
4 8 -0.0775343
5 8 -0.103372
6 8 -0.129208
7 8 -0.155044
8 8 -0.180877
9 8 -0.206702
10 8 -0.232522
11 8 -0.258332
12 8 -0.284127
13 8 -0.309898
14 8 -0.335636
15 8 -0.361339
16 8 -0.386989
17 8 -0.412574
18 8 -0.438076
19 8 -0.463477
20 8 -0.488755
21 8 -0.513888
22 8 -0.538849
23 8 -0.563612
24 8 -0.588144
25 8 -0.61241
26 8 -0.636376
27 8 -0.659999
28 8 -0.68324
29 8 -0.706056
30 8 -0.728399
31 8 -0.750218
32 8 -0.771461
33 8 -0.792078
34 8 -0.81201
35 8 -0.831205
36 8 -0.849606
37 8 -0.867157
38 8 -0.883801
39 8 -0.899482
40 8 -0.914143
41 8 -0.927735
42 8 -0.940207
43 8 -0.95151
44 8 -0.9616
45 8 -0.970432
46 8 -0.977971
47 8 -0.984191
48 8 -0.989057
49 8 -0.992551
50 8 -0.99466
51 8 -0.995373
52 8 -0.994687
53 8 -0.992605
54 8 -0.989132
55 8 -0.984287
56 8 -0.978094
57 8 -0.970577
58 8 -0.961765
59 8 -0.9517
60 8 -0.940422
61 8 -0.927973
62 8 -0.914398
63 8 -0.899753
64 8 -0.884089
65 8 -0.867459
66 8 -0.849925
67 8 -0.831539
68 8 -0.81236
69 8 -0.792439
70 8 -0.771835
71 8 -0.750603
72 8 -0.728797
73 8 -0.706467
74 8 -0.68366
75 8 -0.660421
76 8 -0.6368
77 8 -0.612836
78 8 -0.588568
79 8 -0.564036
80 8 -0.539273
81 8 -0.514307
82 8 -0.48917
83 8 -0.463889
84 8 -0.438483
85 8 -0.412974
86 8 -0.387378
87 8 -0.361718
88 8 -0.336002
89 8 -0.310245
90 8 -0.284457
91 8 -0.258645
92 8 -0.232814
93 8 -0.206973
94 8 -0.181123
95 8 -0.155267
96 8 -0.129402
97 8 -0.103535
98 8 -0.0776636
99 8 -0.0517847
100 8 -0.025898
101 8 0
1 9 0
2 9 -0.0295366
3 9 -0.059068
4 9 -0.088596
5 9 -0.118122
6 9 -0.147649
7 9 -0.177178
8 9 -0.206704
9 9 -0.236226
10 9 -0.265747
11 9 -0.29526
12 9 -0.324758
13 9 -0.354235
14 9 -0.383682
15 9 -0.413091
16 9 -0.442447
17 9 -0.471734
18 9 -0.500932
19 9 -0.530022
20 9 -0.558977
21 9 -0.587774
22 9 -0.616384
23 9 -0.644773
24 9 -0.672906
25 9 -0.700747
26 9 -0.728247
27 9 -0.755363
28 9 -0.782053
29 9 -0.808261
30 9 -0.833932
31 9 -0.859011
32 9 -0.883439
33 9 -0.907151
34 9 -0.930087
35 9 -0.952184
36 9 -0.973374
37 9 -0.993591
38 9 -1.01277
39 9 -1.03084
40 9 -1.04775
41 9 -1.06343
42 9 -1.07781
43 9 -1.09085
44 9 -1.1025
45 9 -1.11269
46 9 -1.12139
47 9 -1.12857
48 9 -1.13419
49 9 -1.13823
50 9 -1.14066
51 9 -1.14149
52 9 -1.14069
53 9 -1.13829
54 9 -1.13428
