title="Density"
variables = "x","y","num"
zone i=100,j=100,f=point
67 14 1.3e+15
68 14 1e+15
69 14 1.3e+15
70 14 1.3e+15
71 14 1.2e+15
72 14 1.7e+15
73 14 1.4e+15
74 14 1.1e+15
75 14 1.1e+15
76 14 1.5e+15
77 14 1.6e+15
78 14 1.3e+15
79 14 1.4e+15
80 14 1.5e+15
81 14 1.3e+15
82 14 1.4e+15
83 14 1.4e+15
84 14 1.2e+15
85 14 1.7e+15
86 14 1e+15
87 14 1.8e+15
88 14 1e+15
89 14 1.2e+15
90 14 1.5e+15
91 14 1.1e+15
92 14 1.5e+15
93 14 1.2e+15
94 14 1.7e+15
95 14 1.2e+15
96 14 1.3e+15
97 14 1.7e+15
98 14 1.1e+15
99 14 1.8e+15
100 14 1.2e+15
1 15 9e+14
2 15 5e+14
3 15 7e+14
4 15 8e+14
5 15 5e+14
6 15 6e+14
7 15 1.3e+15
8 15 3e+14
9 15 6e+14
10 15 7e+14
11 15 7e+14
12 15 7e+14
13 15 9e+14
