title="iDensity"
variables = "x","y","num"
zone i=100,j=100,f=point
74 8 6e+14
75 8 9e+14
76 8 6e+14
77 8 8e+14
78 8 9e+14
79 8 1.1e+15
80 8 1.4e+15
81 8 1.5e+15
82 8 1.7e+15
83 8 8e+14
84 8 1.4e+15
85 8 1.4e+15
86 8 1.3e+15
87 8 1.2e+15
88 8 1.4e+15
89 8 7e+14
90 8 1.3e+15
91 8 1.4e+15
92 8 1.6e+15
93 8 1.4e+15
94 8 1.6e+15
95 8 1.6e+15
96 8 1.3e+15
97 8 1.1e+15
98 8 5e+14
99 8 4e+14
100 8 3e+14
1 9 2e+14
2 9 4e+14
3 9 4e+14
4 9 7e+14
5 9 1.4e+15
6 9 9e+14
7 9 8e+14
8 9 8e+14
9 9 2e+15
10 9 1e+15
11 9 1.3e+15
12 9 1.1e+15
13 9 1.4e+15
14 9 1.4e+15
15 9 1.2e+15
16 9 1.2e+15
17 9 1.2e+15
18 9 1.3e+15
19 9 1e+15
20 9 7e+14
21 9 1.9e+15
22 9 1.5e+15
23 9 7e+14
24 9 1.3e+15
25 9 1.1e+15
26 9 8e+14
27 9 1.4e+15
28 9 6e+14
29 9 7e+14
30 9 8e+14
31 9 9e+14
32 9 4e+14
33 9 6e+14
34 9 1.1e+15
35 9 6e+14
36 9 5e+14
37 9 6e+14
38 9 6e+14
39 9 6e+14
40 9 9e+14
41 9 7e+14
42 9 5e+14
43 9 1e+15
44 9 9e+14
45 9 1.4e+15
46 9 8e+14
47 9 1.2e+15
48 9 6e+14
49 9 1.1e+15
50 9 7e+14
51 9 1e+15
52 9 7e+14
53 9 1.1e+15
54 9 1.8e+15
55 9 8e+14
56 9 9e+14
57 9 9e+14
58 9 6e+14
59 9 1e+15
60 9 9e+14
61 9 8e+14
62 9 6e+14
63 9 4e+14
64 9 8e+14
65 9 4e+14
66 9 7e+14
67 9 7e+14
68 9 5e+14
69 9 7e+14
70 9 4e+14
71 9 1.2e+15
72 9 8e+14
73 9 6e+14
74 9 4e+14
75 9 1e+15
76 9 1.8e+15
77 9 8e+14
78 9 1.1e+15
79 9 1e+15
80 9 1.8e+15
81 9 9e+14
82 9 1.7e+15
83 9 1.3e+15
84 9 1.5e+15
85 9 1.3e+15
86 9 1.4e+15
87 9 9e+14
88 9 1.9e+15
89 9 9e+14
90 9 9e+14
91 9 2e+15
92 9 9e+14
93 9 2.1e+15
94 9 1.1e+15
95 9 8e+14
96 9 2e+15
97 9 1.1e+15
98 9 6e+14
99 9 7e+14
100 9 4e+14
1 10 2e+14
2 10 3e+14
3 10 7e+14
4 10 1.2e+15
5 10 1.5e+15
6 10 1.2e+15
7 10 1.5e+15
8 10 8e+14
9 10 1.5e+15
10 10 1.4e+15
11 10 1.5e+15
12 10 1.5e+15
13 10 9e+14
14 10 1.2e+15
15 10 1.5e+15
16 10 1.4e+15
17 10 8e+14
18 10 1.1e+15
19 10 1.1e+15
20 10 1.2e+15
21 10 1.5e+15
22 10 1.1e+15
23 10 1.5e+15
24 10 1.4e+15
25 10 1e+15
26 10 1.5e+15
27 10 1.5e+15
28 10 1.1e+15
29 10 1.2e+15
30 10 9e+14
31 10 1e+15
32 10 1.2e+15
33 10 5e+14
34 10 1e+15
35 10 9e+14
36 10 8e+14
37 10 1.1e+15
38 10 1e+15
39 10 1.5e+15
40 10 1.1e+15
41 10 1.6e+15
42 10 1.2e+15
43 10 1e+15
44 10 8e+14
45 10 1.3e+15
46 10 1.4e+15
47 10 1.5e+15
48 10 8e+14
49 10 1.3e+15
50 10 1.6e+15
51 10 1e+15
52 10 1.4e+15
53 10 1e+15
54 10 1e+15
55 10 8e+14
56 10 1.2e+15
57 10 1.2e+15
58 10 1.2e+15
59 10 1.3e+15
60 10 1e+15
61 10 1.6e+15
62 10 1.2e+15
63 10 9e+14
64 10 1.2e+15
65 10 1.2e+15
66 10 7e+14
67 10 1.5e+15
68 10 8e+14
69 10 8e+14
70 10 1.1e+15
71 10 1e+15
72 10 9e+14
73 10 1e+15
74 10 1.5e+15
75 10 1.2e+15
76 10 1.2e+15
77 10 2.1e+15
78 10 1.1e+15
79 10 1.6e+15
80 10 1.7e+15
81 10 9e+14
82 10 1.3e+15
83 10 1.3e+15
84 10 1.4e+15
85 10 1.3e+15
86 10 5e+14
87 10 1.4e+15
88 10 1.3e+15
89 10 9e+14
90 10 1.1e+15
91 10 1.5e+15
92 10 5e+14
93 10 8e+14
94 10 2e+14
95 10 1.4e+15
96 10 2.2e+15
97 10 8e+14
98 10 4e+14
99 10 2e+14
100 10 2e+14
1 11 2e+14
2 11 1e+14
3 11 2e+14
4 11 6e+14
5 11 1.6e+15
6 11 1.3e+15
7 11 1e+15
8 11 1.5e+15
9 11 1.4e+15
10 11 1.7e+15
11 11 1.4e+15
12 11 9e+14
13 11 1.2e+15
14 11 6e+14
15 11 1e+15
16 11 1.5e+15
17 11 1.2e+15
18 11 1.2e+15
19 11 1.3e+15
20 11 1e+15
21 11 1e+15
22 11 9e+14
23 11 1.4e+15
24 11 1.5e+15
25 11 1.3e+15
26 11 1.8e+15
27 11 9e+14
28 11 1.4e+15
29 11 9e+14
30 11 1e+15
31 11 1.2e+15
32 11 1.2e+15
33 11 1e+15
34 11 1.6e+15
35 11 1.5e+15
36 11 1.3e+15
37 11 1.8e+15
38 11 1.8e+15
39 11 1.6e+15
40 11 1.6e+15
41 11 1.7e+15
42 11 1.4e+15
43 11 1.3e+15
44 11 2e+15
45 11 1.3e+15
46 11 1.5e+15
47 11 1.1e+15
48 11 1e+15
49 11 1e+15
50 11 1.5e+15
51 11 1.1e+15
52 11 1.7e+15
53 11 1.3e+15
54 11 1.2e+15
55 11 1.6e+15
56 11 1.7e+15
57 11 1.7e+15
58 11 1.5e+15
59 11 1.6e+15
60 11 1.2e+15
61 11 2.4e+15
62 11 1.4e+15
63 11 1.7e+15
64 11 1.9e+15
65 11 1.4e+15
66 11 1.9e+15
67 11 1.4e+15
68 11 1.2e+15
69 11 1.3e+15
70 11 1.2e+15
71 11 1e+15
72 11 1.7e+15
73 11 9e+14
74 11 1.1e+15
75 11 2.2e+15
76 11 1.1e+15
77 11 1.7e+15
78 11 8e+14
79 11 1.3e+15
80 11 1.6e+15
81 11 1.2e+15
82 11 1.4e+15
83 11 1.3e+15
84 11 9e+14
85 11 1.4e+15
86 11 1.3e+15
87 11 1.4e+15
88 11 1.5e+15
89 11 1.2e+15
90 11 1.8e+15
91 11 1.9e+15
92 11 1e+15
93 11 1.4e+15
94 11 1.5e+15
95 11 1.1e+15
96 11 1e+15
97 11 9e+14
98 11 4e+14
99 11 3e+14
100 11 5e+14
1 12 2e+14
2 12 3e+14
3 12 4e+14
4 12 4e+14
5 12 8e+14
6 12 1.9e+15
7 12 1.2e+15
8 12 8e+14
9 12 1.4e+15
10 12 9e+14
11 12 1.6e+15
12 12 1.4e+15
13 12 7e+14
14 12 1.2e+15
15 12 1.3e+15
16 12 1e+15
17 12 1.3e+15
18 12 1.2e+15
19 12 1.4e+15
20 12 1.4e+15
21 12 9e+14
22 12 1.3e+15
23 12 1.9e+15
24 12 1.4e+15
25 12 1.5e+15
26 12 1.1e+15
27 12 1.5e+15
28 12 1.3e+15
29 12 1.2e+15
30 12 1.3e+15
31 12 1.2e+15
32 12 2.6e+15
33 12 1.8e+15
34 12 2e+15
35 12 2.7e+15
36 12 2.7e+15
37 12 1.7e+15
38 12 1.9e+15
39 12 1.9e+15
40 12 1.9e+15
41 12 1.4e+15
42 12 1.5e+15
43 12 1.5e+15
44 12 1.4e+15
45 12 1.4e+15
46 12 1.7e+15
47 12 1.4e+15
48 12 1e+15
49 12 1.3e+15
50 12 1.6e+15
51 12 1.3e+15
52 12 2e+15
53 12 1.1e+15
54 12 1e+15
55 12 1.4e+15
56 12 1.2e+15
57 12 1.3e+15
58 12 1.2e+15
59 12 1.5e+15
60 12 1.8e+15
61 12 2.2e+15
62 12 1.8e+15
63 12 1.5e+15
64 12 2.3e+15
65 12 2e+15
66 12 2.4e+15
67 12 3.1e+15
68 12 1.2e+15
69 12 1.8e+15
70 12 2e+15
71 12 2e+15
72 12 1.6e+15
73 12 2e+15
74 12 1.2e+15
75 12 1.1e+15
76 12 1.2e+15
77 12 1.5e+15
78 12 8e+14
79 12 1.2e+15
80 12 1.6e+15
81 12 8e+14
82 12 1.2e+15
83 12 1.2e+15
84 12 1.5e+15
85 12 1.6e+15
86 12 2e+15
87 12 6e+14
88 12 1.3e+15
89 12 1.9e+15
90 12 1.5e+15
91 12 1e+15
92 12 1.2e+15
93 12 1.4e+15
94 12 1.2e+15
95 12 1e+15
96 12 1.2e+15
97 12 6e+14
98 12 6e+14
99 12 1e+14
100 12 2e+14
1 13 3e+14
2 13 0
3 13 6e+14
4 13 5e+14
5 13 1e+15
6 13 1.3e+15
7 13 1.2e+15
8 13 1.3e+15
9 13 4e+14
10 13 9e+14
11 13 8e+14
12 13 1.3e+15
13 13 8e+14
14 13 1.2e+15
15 13 8e+14
16 13 9e+14
17 13 2.1e+15
18 13 1.3e+15
19 13 1.5e+15
20 13 1.4e+15
21 13 1.4e+15
22 13 1.5e+15
23 13 1.3e+15
24 13 1.6e+15
25 13 1.4e+15
26 13 1e+15
27 13 1.2e+15
28 13 1.4e+15
29 13 1e+15
30 13 1.2e+15
31 13 2.1e+15
32 13 3.1e+15
33 13 2.5e+15
34 13 2.5e+15
35 13 2e+15
36 13 1.6e+15
37 13 1.4e+15
38 13 2.2e+15
39 13 1.5e+15
40 13 1.5e+15
41 13 1.4e+15
42 13 1.5e+15
43 13 1e+15
44 13 1.2e+15
45 13 1e+15
46 13 5e+14
47 13 9e+14
48 13 8e+14
49 13 8e+14
50 13 9e+14
51 13 1.6e+15
52 13 8e+14
53 13 1.1e+15
54 13 1e+15
55 13 1.3e+15
56 13 1.6e+15
57 13 1.7e+15
58 13 1.7e+15
59 13 1.5e+15
60 13 1.4e+15
61 13 7e+14
62 13 2.1e+15
63 13 1e+15
64 13 1.3e+15
65 13 1.9e+15
66 13 2.7e+15
67 13 1.9e+15
68 13 2.4e+15
69 13 1.9e+15
70 13 1.8e+15
71 13 1.5e+15
72 13 1.8e+15
73 13 6e+14
74 13 1.4e+15
75 13 1.3e+15
76 13 1.7e+15
77 13 1.3e+15
78 13 8e+14
79 13 1.9e+15
80 13 1.1e+15
81 13 9e+14
82 13 9e+14
83 13 1.3e+15
84 13 1e+15
85 13 6e+14
86 13 1.2e+15
87 13 1.2e+15
88 13 8e+14
89 13 1.4e+15
90 13 9e+14
91 13 4e+14
92 13 1.2e+15
93 13 9e+14
94 13 1.3e+15
95 13 1.3e+15
96 13 1.1e+15
97 13 3e+14
98 13 6e+14
99 13 2e+14
100 13 2e+14
1 14 0
2 14 4e+14
3 14 1e+14
4 14 3e+14
5 14 1e+15
6 14 1.8e+15
7 14 1.5e+15
8 14 1.6e+15
9 14 1.3e+15
10 14 1.3e+15
11 14 1.1e+15
12 14 7e+14
13 14 1.2e+15
14 14 1.1e+15
15 14 1e+15
16 14 1.5e+15
17 14 9e+14
18 14 1.1e+15
19 14 1.8e+15
20 14 1e+15
21 14 1e+15
22 14 1.4e+15
23 14 1.7e+15
24 14 1.4e+15
25 14 7e+14
26 14 1.7e+15
27 14 1.7e+15
28 14 1.7e+15
29 14 2.2e+15
30 14 2.5e+15
31 14 2.7e+15
32 14 3.4e+15
33 14 2.2e+15
34 14 1.8e+15
35 14 1.3e+15
36 14 1.2e+15
37 14 1.5e+15
38 14 8e+14
39 14 1.5e+15
40 14 1e+15
41 14 1e+15
42 14 1.4e+15
43 14 8e+14
44 14 1.4e+15
45 14 8e+14
46 14 9e+14
47 14 1.1e+15
48 14 1.1e+15
49 14 1.2e+15
50 14 9e+14
51 14 6e+14
52 14 7e+14
53 14 9e+14
54 14 5e+14
55 14 6e+14
56 14 9e+14
57 14 9e+14
58 14 8e+14
59 14 7e+14
60 14 1.3e+15
61 14 7e+14
62 14 1.4e+15
63 14 7e+14
64 14 1e+15
65 14 1.3e+15
66 14 1.4e+15
67 14 7e+14
68 14 2.2e+15
69 14 1.9e+15
70 14 3.2e+15
71 14 2.8e+15
72 14 2e+15
73 14 1.4e+15
74 14 1.4e+15
75 14 1.8e+15
76 14 2.1e+15
77 14 1.8e+15
78 14 8e+14
79 14 1.3e+15
80 14 1.5e+15
81 14 1.1e+15
82 14 1.3e+15
83 14 1.3e+15
84 14 1.3e+15
85 14 1.2e+15
86 14 9e+14
87 14 1.5e+15
88 14 9e+14
89 14 1.2e+15
90 14 1.4e+15
91 14 1.1e+15
92 14 1.6e+15
93 14 9e+14
94 14 1e+15
95 14 1.4e+15
96 14 1.7e+15
97 14 2e+14
98 14 3e+14
99 14 4e+14
100 14 2e+14
1 15 0
2 15 1e+14
3 15 4e+14
4 15 9e+14
5 15 7e+14
6 15 7e+14
7 15 9e+14
8 15 1.7e+15
9 15 1.4e+15
10 15 1.1e+15
11 15 1.2e+15
12 15 1.7e+15
